workerid,strong_adjective,not_paid_attention,condition_prosody,responsequestion,exchange,question,pre_check_response,condition_knowledge,weak_adjective,valence,context,time,num_plays,response,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.hit_information,Answer.time_in_minutes
10,hysterical,FALSE,neutral,Does Julie mean that his patient was hysterical?,Stan: What does his patient feel like?,Did Julie&quotechars patient get in a car accident?,no,ignorant,anxious,neg,"Mike is a doctor and runs into Julie on his way home. He briefly tells Julie about one of his patients that day, who was in a severe car accident. Several days later, Julie goes out to eat with her boyfriend Stan and Julie tells him about what she recalls her brief encounter with Mike.",11879,1,0.52,12,English ,2,Male,63,Quick and easy with good pay,Yes,2,an unknown OS,1024,768,Safari,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3UWN2HHPUY50NTRJFAZVI0DYYLCSNO,10,Submitted,Tue Dec 12 03:49:24 PST 2017,Mon Dec 11 10:59:05 PST 2017,Mon Dec 11 11:09:24 PST 2017,,,,,,undefined,undefined,7.0919
11,hysterical,TRUE,neutral,Does Julie mean that his patient was hysterical?,Stan: What does his patient feel like?,Did Julie&quotechars patient get in a car accident?,no,ignorant,anxious,neg,"Mike is a doctor and runs into Julie on his way home. He briefly tells Julie about one of his patients that day, who was in a severe car accident. Several days later, Julie goes out to eat with her boyfriend Stan and Julie tells him about what she recalls her brief encounter with Mike.",14168,1,0.51,13,english,1,Female,38,,Yes,1,Windows,858,1525,Firefox,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3P529IW9KYL1VOJCXDJHY9QU40ILFW,11,Submitted,Tue Dec 12 03:49:53 PST 2017,Mon Dec 11 10:59:13 PST 2017,Mon Dec 11 11:09:53 PST 2017,,,,,,undefined,undefined,5.70335
12,hysterical,FALSE,neutral,Does Julie mean that her patient was hysterical?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",16704,0,0.44,17,English,1,Male,20,thanks,Yes,1,Windows,1080,1920,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3U8YCDAGXPGLPHKZM08SCO2K84GQ0M,12,Submitted,Tue Dec 12 03:49:58 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:09:58 PST 2017,,,,,,undefined,undefined,10.67638333
13,hysterical,FALSE,filler,Does Julie mean that her patient was anxious?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",132856,1,0.83,4,English,2,Male,44,Thanks,Yes,2,Windows,1080,1920,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,31IBVUNM9SZ4RTV6BHLNLIOWVYKVFP,13,Submitted,Tue Dec 12 03:50:11 PST 2017,Mon Dec 11 10:59:24 PST 2017,Mon Dec 11 11:10:11 PST 2017,,,,,,undefined,undefined,10.74533333
14,hysterical,FALSE,RFR,Does Julie mean that his patient was hysterical?,Stan: What does his patient feel like?,Did Julie&quotechars patient get in a car accident?,no,ignorant,anxious,neg,"Mike is a doctor and runs into Julie on his way home. He briefly tells Julie about one of his patients that day, who was in a severe car accident. Several days later, Julie goes out to eat with her boyfriend Stan and Julie tells him about what she recalls her brief encounter with Mike.",26912,1,0.37,17,English,2,Male,42,Thanks for the HIT!  I did my best and hope the data is useful!,Yes,2,Windows,768,1366,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3HMVI3QICJSU58W39TTM3FOWC53Y10,14,Submitted,Tue Dec 12 03:50:17 PST 2017,Mon Dec 11 10:59:07 PST 2017,Mon Dec 11 11:10:17 PST 2017,,,,,,undefined,undefined,9.32555
15,hysterical,TRUE,RFR,Does Julie mean that her patient was hysterical?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",28210,1,0.71,5,english,2,Male,39,,Yes,2,Linux,768,1366,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,38SKSKU7R1XL5FL2YLP2163MKSALIN,15,Submitted,Tue Dec 12 03:50:29 PST 2017,Mon Dec 11 10:59:15 PST 2017,Mon Dec 11 11:10:29 PST 2017,,,,,,undefined,undefined,11.1309
16,hysterical,FALSE,neutral,Does Julie mean that his patient was hysterical?,Stan: What does his patient feel like?,Did Julie&quotechars patient get in a car accident?,no,ignorant,anxious,neg,"Mike is a doctor and runs into Julie on his way home. He briefly tells Julie about one of his patients that day, who was in a severe car accident. Several days later, Julie goes out to eat with her boyfriend Stan and Julie tells him about what she recalls her brief encounter with Mike.",19289,1,0.32,20,English,1,Male,39,,Yes,2,Linux,1200,1920,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3B1NLC6UGZWX09U50PI6XBZQAPJGPO,16,Submitted,Tue Dec 12 03:50:45 PST 2017,Mon Dec 11 10:59:17 PST 2017,Mon Dec 11 11:10:45 PST 2017,,,,,,undefined,undefined,11.41598333
17,hysterical,FALSE,filler,Does Julie mean that her patient was anxious?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",18388,1,0.76,16,english,2,Male,22,,Yes,3,Windows,768,1366,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3EFVCAY5L39MLJLPME1Y82WGD70J8B,17,Submitted,Tue Dec 12 03:50:50 PST 2017,Mon Dec 11 10:59:14 PST 2017,Mon Dec 11 11:10:50 PST 2017,,,,,,undefined,undefined,7.076366667
18,hysterical,FALSE,filler,Does Julie mean that her patient was anxious?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",84530,1,0.51,18,English,1,Male,26,,Yes,3,Windows,1440,3440,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3KJYX6QCM9BKWVH2U7C80GGOO51VJS,18,Submitted,Tue Dec 12 03:51:08 PST 2017,Mon Dec 11 10:59:17 PST 2017,Mon Dec 11 11:11:08 PST 2017,,,,,,undefined,undefined,11.8137
19,hysterical,FALSE,filler,Does Julie mean that her patient was anxious?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",16296,1,0.87,11,English,2,Male,34,,Yes,3,Windows,1080,1920,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,34HJIJKLP5WUTDYHR0P4UER568BV41,19,Submitted,Tue Dec 12 03:51:09 PST 2017,Mon Dec 11 10:59:04 PST 2017,Mon Dec 11 11:11:09 PST 2017,,,,,,undefined,undefined,6.1603
20,hysterical,FALSE,RFR,Does Julie mean that her patient was hysterical?,Mike: What does your patient feel like?,Did Julie&quotechars patient get in a car accident?,yes,know,anxious,neg,"Mike visited Julie at work to bring her something to eat. Julie is a doctor at a nearby hospital. Mike has to go back home, but Julie had to return to the hospital to see one last patient who was in a severe car accident. Upon getting home, Mike asks Julie about her last patient.",19636,1,0.52,10,english,2,Female,37,,Yes,3,Windows,1024,1280,Chrome,36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3NWM3X0LA7LPP30KTPJPGTWNK4SXPI,Language study,"Listen to interactions and answer questions about them. You must be able to listen to short audio clips, perform this task on a desktop or laptop computer, and use Chrome, Safari, Firefox or Opera.",language research stanford fun cognitive science university,$1.60 ,Mon Dec 11 10:58:52 PST 2017,110,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Wed Jan 10 10:58:52 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=36BTXXLZ2V8ZENJ6SEFS4X6EZUH4RI,3F0BG9B9MPN8GUB5Y9AV4PF9FR3Y7X,20,Submitted,Tue Dec 12 03:51:26 PST 2017,Mon Dec 11 10:59:12 PST 2017,Mon Dec 11 11:11:26 PST 2017,,,,,,undefined,undefined,12.11423333
